iter	Passed	Remaining
0	141	140964
1	144	71923
2	147	48941
3	150	37407
4	153	30502
5	156	25900
6	159	22603
7	162	20137
8	165	18231
9	168	16685
10	171	15448
11	175	14410
12	178	13525
13	181	12766
14	184	12104
15	187	11522
16	190	11008
17	193	10563
18	196	10153
19	199	9786
20	202	9452
21	205	9147
22	209	8879
23	211	8620
24	215	8385
25	218	8168
26	221	7964
27	224	7807
28	227	7631
29	230	7466
30	234	7314
31	236	7168
32	240	7033
33	243	6906
34	246	6784
35	249	6669
36	252	6564
37	255	6461
38	258	6362
39	261	6267
40	264	6178
41	267	6096
42	270	6014
43	273	5937
44	276	5862
45	279	5795
46	282	5729
47	285	5663
48	288	5600
49	290	5523
50	292	5451
51	295	5379
52	297	5310
53	298	5235
54	300	5161
55	301	5090
56	303	5022
57	305	4955
58	306	4886
59	307	4820
60	308	4754
61	310	4690
62	311	4630
63	312	4571
64	313	4514
65	314	4457
66	316	4401
67	316	4340
68	317	4288
69	318	4236
70	319	4186
71	321	4139
72	322	4090
73	323	4042
74	324	3997
75	325	3952
76	326	3909
77	327	3866
78	328	3824
79	329	3784
80	330	3744
81	331	3706
82	331	3667
83	332	3630
84	333	3591
85	334	3556
86	335	3519
87	336	3486
88	337	3453
89	338	3421
90	339	3389
91	340	3358
92	341	3328
93	342	3299
94	343	3270
95	344	3241
96	345	3213
97	346	3186
98	347	3159
99	348	3132
100	348	3106
101	349	3076
102	350	3051
103	351	3026
104	352	3001
105	353	2977
106	353	2953
107	354	2930
108	355	2909
109	356	2887
110	357	2865
111	358	2844
112	359	2823
113	360	2802
114	361	2782
115	362	2761
116	363	2741
117	364	2722
118	365	2702
119	366	2684
120	366	2666
121	367	2648
122	368	2627
123	369	2610
124	370	2592
125	371	2576
126	372	2559
127	373	2541
128	374	2525
129	374	2509
130	375	2493
131	376	2478
132	377	2462
133	378	2447
134	379	2433
135	380	2418
136	381	2404
137	382	2389
138	383	2375
139	384	2361
140	385	2347
141	386	2334
142	387	2321
143	388	2308
144	389	2295
145	390	2283
146	391	2270
147	392	2258
148	393	2246
149	394	2234
150	395	2222
151	396	2210
152	397	2198
153	398	2187
154	399	2175
155	400	2164
156	400	2152
157	401	2142
158	402	2131
159	403	2120
160	404	2109
161	405	2099
162	406	2088
163	407	2078
164	408	2068
165	409	2058
166	410	2048
167	411	2038
168	412	2028
169	413	2019
170	414	2009
171	415	2000
172	416	1991
173	417	1982
174	418	1972
175	419	1964
176	420	1954
177	421	1946
178	422	1937
179	423	1928
180	423	1918
181	424	1909
182	425	1901
183	426	1893
184	427	1885
185	428	1877
186	429	1869
187	431	1861
188	431	1853
189	432	1845
190	433	1838
191	434	1830
192	435	1822
193	436	1815
194	438	1808
195	438	1800
196	440	1793
197	441	1786
198	442	1779
199	443	1772
200	444	1765
201	445	1761
202	447	1755
203	448	1749
204	449	1742
205	450	1735
206	451	1728
207	452	1722
208	453	1715
209	454	1709
210	455	1702
211	456	1696
212	457	1689
213	458	1683
214	459	1676
215	460	1670
216	461	1664
217	462	1657
218	463	1651
219	464	1645
220	465	1639
221	465	1632
222	466	1627
223	468	1621
224	468	1615
225	469	1609
226	470	1603
227	471	1597
228	472	1592
229	473	1586
230	474	1581
231	475	1575
232	476	1570
233	477	1564
234	478	1558
235	479	1552
236	480	1547
237	481	1541
238	482	1536
239	483	1530
240	484	1525
241	485	1519
242	486	1514
243	486	1508
244	487	1503
245	488	1498
246	489	1493
247	490	1488
248	491	1483
249	492	1478
250	493	1473
251	494	1468
252	495	1463
253	496	1458
254	497	1453
255	498	1449
256	499	1444
257	500	1439
258	501	1434
259	502	1430
260	503	1425
261	504	1420
262	505	1416
263	506	1411
264	507	1407
265	508	1403
266	509	1398
267	510	1393
268	511	1389
269	512	1384
270	513	1380
271	514	1375
272	514	1371
273	515	1367
274	516	1362
275	517	1358
276	518	1354
277	519	1350
278	520	1345
279	521	1341
280	522	1337
281	523	1333
282	524	1329
283	525	1325
284	526	1321
285	527	1317
286	528	1313
287	529	1309
288	530	1305
289	531	1301
290	532	1297
291	533	1293
292	534	1289
293	535	1285
294	536	1281
295	537	1277
296	538	1274
297	539	1270
298	540	1266
299	541	1262
300	542	1259
301	543	1255
302	544	1251
303	545	1247
304	546	1244
305	547	1240
306	548	1237
307	549	1233
308	550	1230
309	551	1226
310	552	1222
311	552	1219
312	553	1215
313	554	1212
314	555	1208
315	556	1205
316	557	1201
317	558	1198
318	559	1194
319	560	1191
320	561	1188
321	562	1184
322	563	1181
323	564	1178
324	565	1174
325	566	1171
326	567	1167
327	568	1164
328	569	1161
329	570	1158
330	571	1154
331	572	1151
332	573	1148
333	574	1145
334	575	1141
335	576	1138
336	577	1135
337	578	1132
338	579	1129
339	580	1126
340	581	1123
341	582	1120
342	583	1117
343	584	1114
344	585	1111
345	586	1108
346	587	1105
347	588	1102
348	589	1099
349	590	1095
350	591	1092
351	591	1089
352	592	1086
353	593	1083
354	594	1080
355	595	1077
356	596	1074
357	597	1072
358	598	1069
359	599	1066
360	600	1063
361	601	1060
362	602	1057
363	603	1054
364	604	1052
365	605	1049
366	606	1046
367	607	1043
368	608	1040
369	609	1038
370	610	1035
371	611	1032
372	612	1029
373	613	1026
374	614	1024
375	615	1021
376	616	1018
377	617	1015
378	618	1013
379	619	1010
380	620	1007
381	621	1005
382	622	1002
383	623	999
384	624	997
385	625	994
386	626	991
387	627	989
388	628	986
389	629	983
390	629	981
391	630	978
392	631	976
393	632	973
394	633	970
395	634	968
396	635	965
397	636	963
398	637	960
399	638	958
400	639	955
401	640	953
402	641	950
403	642	948
404	643	945
405	644	943
406	645	940
407	646	938
408	647	935
409	648	933
410	649	930
411	650	928
412	651	926
413	652	923
414	653	921
415	654	918
416	655	916
417	656	913
418	657	911
419	658	909
420	659	906
421	660	904
422	661	902
423	662	899
424	663	897
425	664	894
426	665	892
427	666	890
428	667	887
429	668	885
430	668	883
431	669	880
432	671	878
433	671	876
434	672	874
435	673	871
436	674	869
437	675	867
438	676	864
439	677	862
440	678	860
441	679	858
442	680	855
443	681	853
444	682	851
445	683	849
446	684	846
447	685	844
448	686	842
449	687	840
450	688	838
451	689	835
452	690	833
453	691	831
454	692	829
455	693	826
456	694	824
457	695	822
458	696	820
459	697	818
460	698	816
461	698	813
462	699	811
463	700	809
464	701	807
465	702	805
466	703	803
467	704	801
468	705	799
469	706	797
470	707	795
471	708	792
472	709	790
473	710	788
474	711	786
475	712	784
476	713	782
477	714	780
478	715	778
479	716	776
480	717	774
481	718	772
482	719	770
483	720	767
484	721	765
485	722	763
486	723	761
487	724	759
488	725	757
489	726	755
490	726	753
491	727	751
492	728	749
493	729	747
494	730	745
495	731	743
496	732	741
497	733	739
498	734	737
499	735	735
500	736	733
501	737	731
502	738	729
503	739	727
504	740	725
505	741	723
506	742	721
507	743	720
508	744	718
509	745	716
510	746	714
511	747	712
512	748	710
513	749	708
514	750	706
515	751	704
516	752	702
517	753	700
518	754	698
519	755	696
520	756	695
521	757	693
522	757	691
523	758	689
524	759	687
525	760	685
526	761	683
527	762	681
528	763	680
529	764	678
530	765	676
531	766	674
532	767	672
533	768	670
534	769	669
535	770	667
536	771	665
537	772	663
538	773	661
539	774	659
540	775	657
541	776	656
542	777	654
543	778	652
544	779	650
545	780	648
546	781	646
547	782	645
548	783	643
549	784	641
550	785	639
551	786	637
552	786	636
553	788	634
554	788	632
555	789	630
556	790	629
557	791	627
558	792	625
559	793	623
560	794	621
561	795	620
